ItemID,BillNo,Quantity,SellingDate,ItemName,SellingPriceDec
2,253,1,"18","Veg Petty",8
2,64,2,"17","Veg Petty",8
2,146,2,"17","Veg Petty",8
2,262,2,"18","Veg Petty",8
2,1063,1,"23","Veg Petty",8
2,155,2,"17","Veg Petty",8
2,65,1,"17","Veg Petty",8
2,66,2,"17","Veg Petty",8
2,59,2,"17","Veg Petty",8
2,60,2,"17","Veg Petty",8
2,1090,1,"23","Veg Petty",8
2,61,2,"17","Veg Petty",8
2,87,1,"17","Veg Petty",8
2,1343,1,"23","Veg Petty",8
2,63,1,"17","Veg Petty",8
2,1344,1,"23","Veg Petty",8
2,70,1,"17","Veg Petty",8
2,72,1,"17","Veg Petty",8
2,64,1,"17","Veg Petty",8
2,65,2,"17","Veg Petty",8
2,75,4,"17","Veg Petty",8
2,76,1,"17","Veg Petty",8
2,147,2,"17","Veg Petty",8
2,1102,1,"23","Veg Petty",8
2,66,2,"17","Veg Petty",8
2,68,2,"17","Veg Petty",8
2,153,1,"17","Veg Petty",8
2,69,4,"17","Veg Petty",8
2,80,2,"17","Veg Petty",8
2,199,2,"17","Veg Petty",8
2,84,2,"17","Veg Petty",8
2,863,1,"22","Veg Petty",8
2,152,1,"17","Veg Petty",8
2,71,1,"17","Veg Petty",8
2,85,1,"17","Veg Petty",8
2,86,1,"17","Veg Petty",8
2,151,1,"17","Veg Petty",8
2,858,1,"22","Veg Petty",8
2,88,1,"17","Veg Petty",8
2,150,2,"17","Veg Petty",8
2,283,1,"20","Veg Petty",8
2,72,1,"17","Veg Petty",8
2,31,2,"17","Veg Petty",8
2,92,2,"17","Veg Petty",8
2,93,2,"17","Veg Petty",8
2,565,1,"21","Veg Petty",8
2,94,2,"17","Veg Petty",8
2,851,2,"22","Veg Petty",8
2,1358,2,"23","Veg Petty",8
2,74,2,"17","Veg Petty",8
2,75,2,"17","Veg Petty",8
2,848,1,"22","Veg Petty",8
2,97,1,"17","Veg Petty",8
2,569,1,"21","Veg Petty",8
2,926,2,"22","Veg Petty",8
2,149,1,"17","Veg Petty",8
2,76,2,"17","Veg Petty",8
2,77,2,"17","Veg Petty",8
2,139,1,"17","Veg Petty",8
2,99,1,"17","Veg Petty",8
2,904,1,"22","Veg Petty",8
2,939,1,"22","Veg Petty",8
2,901,1,"22","Veg Petty",8
2,844,1,"22","Veg Petty",8
2,78,2,"17","Veg Petty",8
2,1596,1,"23","Veg Petty",8
2,100,1,"17","Veg Petty",8
2,287,1,"20","Veg Petty",8
