BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
226,161,1,26-08-20 20:49,12,F4605,1,5
226,161,2,23-08-20 20:37,12,F2519,1,3
226,161,2,25-08-20 20:53,12,F1356,1,4
226,164,1,27-08-20 21:14,81,F3792,1,3
226,164,1,28-08-20 20:34,81,F3742,1,2
226,164,2,22-08-20 20:38,81,F3151,1,5
226,167,1,17-08-20 20:47,10,F4374,2,5
227,2,1,22-08-20 20:38,8,F3801,1,1
227,15,1,29-08-20 20:33,35,F3686,1,1
227,16,1,14-08-20 22:48,5,F0000,3,2
227,107,1,14-08-20 22:48,10,F0000,1,4
227,128,1,12-08-20 22:45,25,F3259,1,4
227,128,1,14-08-20 22:48,25,F0000,2,3
227,128,2,24-08-20 20:34,25,F3831,1,4
227,130,1,13-08-20 22:31,21,F0000,1,2
227,135,1,13-08-20 22:31,21,F0000,3,1
227,135,1,19-08-20 20:29,21,F3390,1,4
227,138,1,28-08-20 20:34,22,F4413,1,4
227,138,2,27-08-20 21:15,22,F5640,1,4
227,139,1,13-08-20 22:31,21,F0000,2,3
227,139,1,21-08-20 20:33,21,F3881,1,2
227,146,1,25-08-20 20:54,85,F0000,2,5
227,148,1,16-08-20 22:10,90,F3181,1,5
227,148,1,18-08-20 20:39,90,F4584,1,4
227,148,1,25-08-20 20:54,90,F0000,1,4
227,151,5,25-08-20 20:54,12,F0000,4,4
227,154,1,20-08-20 20:58,22,F3874,1,5
227,155,1,17-08-20 20:47,27,F4663,2,1
227,155,1,18-08-20 20:39,27,F4584,2,3
227,157,1,16-08-20 22:10,32,F3181,2,4
227,158,1,26-08-20 20:50,14,F0000,1,3
227,161,1,22-08-20 20:38,12,F3801,2,4
227,161,2,23-08-20 20:37,12,F3232,1,4
227,164,1,25-08-20 20:54,81,F0000,3,3
227,165,1,15-08-20 22:37,30,F0000,1,5
227,167,1,17-08-20 20:47,10,F4663,1,4
227,169,1,21-08-20 20:33,25,F3881,2,2
227,169,1,29-08-20 20:33,25,F3686,2,5
228,2,1,22-08-20 20:39,8,F3863,2,3
228,12,1,20-08-20 20:58,30,F6770,4,5
228,15,1,23-08-20 20:37,35,F3201,2,3
228,16,2,18-08-20 20:39,5,F3874,2,3
228,74,2,22-08-20 20:39,25,F3863,1,3
228,107,1,27-08-20 21:15,10,F2046,1,1
228,107,2,23-08-20 20:37,10,F3201,1,5
228,123,1,20-08-20 20:58,8,F6770,1,4
228,124,3,25-08-20 20:54,25,F3463,1,4
228,128,1,20-08-20 20:58,25,F6770,3,3
228,128,1,23-08-20 20:37,25,F3201,3,3
228,128,2,21-08-20 20:33,25,F3689,1,4
228,128,2,24-08-20 20:34,25,F4683,1,3
228,128,3,12-08-20 22:45,25,F0000,1,4
228,130,1,14-08-20 22:50,21,F0000,2,3
228,133,1,19-08-20 20:29,21,F3390,1,1
228,133,1,24-08-20 20:34,21,F4683,2,5
228,148,2,15-08-20 22:37,90,F0000,1,5
228,154,1,13-08-20 22:32,22,F0000,1,1
228,154,1,14-08-20 22:50,22,F0000,1,4
228,154,1,20-08-20 20:58,22,F6770,2,1
228,154,1,29-08-20 20:33,22,F3405,1,4
228,154,4,25-08-20 20:54,22,F3463,2,2
228,155,1,16-08-20 22:12,27,F0000,1,3
228,155,1,18-08-20 20:39,27,F3874,1,3
228,155,1,27-08-20 21:15,27,F2046,2,2
228,156,1,19-08-20 20:29,30,F3390,2,5
228,159,1,13-08-20 22:32,20,F0000,2,3
228,159,1,17-08-20 20:47,20,F4675,1,4
228,164,1,28-08-20 20:34,81,F3080,1,4
228,167,1,17-08-20 20:47,10,F4675,2,2
228,168,1,26-08-20 20:50,27,F4201,1,3
228,169,1,21-08-20 20:33,25,F3689,2,5
229,2,1,22-08-20 20:39,8,F4108,1,3
229,12,1,15-08-20 22:38,30,F0000,3,5
229,12,1,20-08-20 20:58,30,F6770,3,5
229,19,1,21-08-20 20:33,20,F2674,2,2
229,51,1,26-08-20 20:50,15,F2345,2,2
229,107,1,12-08-20 22:46,10,F0000,1,3
229,128,1,21-08-20 20:33,25,F2674,1,4
229,128,2,15-08-20 22:38,25,F0000,2,5
229,128,2,22-08-20 20:39,25,F4108,2,5
229,134,1,16-08-20 22:12,15,F0000,1,2
229,146,1,23-08-20 20:37,85,H2144,2,5
229,146,2,17-08-20 20:48,85,F0000,1,4
229,148,1,24-08-20 20:34,90,F0000,1,4
229,148,1,29-08-20 20:33,90,F0000,1,4
229,151,2,23-08-20 20:37,12,H2144,1,3
229,151,6,17-08-20 20:48,12,F0000,2,2
229,151,6,20-08-20 20:58,12,F6770,2,1
229,151,6,28-08-20 20:34,12,F3390,1,1
229,154,1,18-08-20 20:39,22,F1495,1,2
229,154,1,19-08-20 20:29,22,F4691,1,5
229,154,1,26-08-20 20:50,22,F2345,1,2
229,154,2,15-08-20 22:38,22,F0000,1,5
229,155,1,13-08-20 22:32,27,F0000,1,3
229,156,1,21-08-20 20:33,30,F2674,3,3
229,156,1,21-08-20 20:33,30,F2674,4,2
229,161,1,14-08-20 22:50,12,F0000,1,5
229,161,1,27-08-20 21:15,12,F4554,1,2
229,164,2,20-08-20 20:58,81,F6770,1,3
229,173,1,25-08-20 20:54,45,F3661,1,4
230,12,1,12-08-20 22:47,30,F0000,1,3
230,12,1,16-08-20 22:12,30,F0000,1,5
230,14,1,29-08-20 20:33,10,F2418,2,5
230,124,1,28-08-20 20:35,25,F4743,1,3
230,128,2,13-08-20 22:32,25,F0000,1,4
230,130,1,19-08-20 20:29,21,F3653,1,4
230,140,1,23-08-20 20:38,26,F0000,1,2
230,148,1,18-08-20 20:39,90,F4579,1,4
