Consequent	Antecedent 	Support %	Confidence %
ItemName_Plain Maggi	StudentIDval_1 and hours_22	1.639	9.091
ItemName_Chicken Sandwich	StudentIDval_4 and hours_23	1.639	9.091
ItemName_Chicken Sandwich	StudentIDval_4 and hours_24	1.639	9.091
ItemName_Chicken Sandwich	StudentIDval_5 and hours_22	1.639	9.091
ItemName_Chicken Sandwich	StudentIDval_1 and hours_22	1.639	9.091
ItemName_Chese Toast	StudentIDval_4 and hours_23	1.639	9.091
ItemName_Chese Toast	StudentIDval_4 and hours_24	1.639	9.091
ItemName_Chese Toast	StudentIDval_5 and hours_22	1.639	9.091
ItemName_Chese Toast	StudentIDval_1 and hours_22	1.639	9.091
ItemName_PULPY ORANGE	StudentIDval_4 and hours_23	1.639	9.091
ItemName_PULPY ORANGE	StudentIDval_4 and hours_24	1.639	9.091
ItemName_PULPY ORANGE	StudentIDval_5 and hours_22	1.639	9.091
ItemName_PULPY ORANGE	StudentIDval_1 and hours_22	1.639	9.091
ItemName_Butter Naan	StudentIDval_4 and hours_23	1.639	9.091
ItemName_Butter Naan	StudentIDval_4 and hours_24	1.639	9.091
ItemName_Butter Naan	StudentIDval_5 and hours_22	1.639	9.091
ItemName_Butter Naan	StudentIDval_1 and hours_22	1.639	9.091
ItemName_Ice Cream Shake	StudentIDval_4 and hours_23	1.639	9.091
ItemName_Ice Cream Shake	StudentIDval_4 and hours_24	1.639	9.091
ItemName_Ice Cream Shake	StudentIDval_5 and hours_22	1.639	9.091
ItemName_Ice Cream Shake	StudentIDval_1 and hours_22	1.639	9.091
ItemName_COKE MIX 600 ML	StudentIDval_4 and hours_23	1.639	9.091
ItemName_COKE MIX 600 ML	StudentIDval_4 and hours_24	1.639	9.091
ItemName_COKE MIX 600 ML	StudentIDval_5 and hours_22	1.639	9.091
ItemName_COKE MIX 600 ML	StudentIDval_1 and hours_22	1.639	9.091
ItemName_COKE MIX 600 ML	hours_25	9.985	8.955
ItemName_Chese Toast	StudentIDval_6	8.346	8.929
ItemName_Ice Cream Shake	StudentIDval_6	8.346	8.929
ItemName_COKE MIX 600 ML	StudentIDval_6	8.346	8.929
ItemName_MIX JUICE	hours_17	5.067	8.824
ItemName_PULPY ORANGE	hours_17	5.067	8.824
ItemName_PULPY ORANGE	StudentIDval_1	10.283	8.696
ItemName_Butter Naan	StudentIDval_1	10.283	8.696
ItemName_Ice Cream Shake	StudentIDval_1	10.283	8.696
ItemName_COKE MIX 600 ML	StudentIDval_1	10.283	8.696
ItemName_DAHI BHALLA	hours_18 and StudentIDval_8	1.788	8.333
ItemName_BINOG CHIP @20	hours_18 and StudentIDval_8	1.788	8.333
ItemName_Onion Uttapam	StudentIDval_6 and hours_24	1.788	8.333
ItemName_Samosa	hours_18 and StudentIDval_8	1.788	8.333
ItemName_COKE CAN 300 ML	StudentIDval_3 and hours_23	1.788	8.333
ItemName_CAKE SANDWICH	hours_18 and StudentIDval_8	1.788	8.333
ItemName_Pasta	StudentIDval_6 and hours_24	1.788	8.333
ItemName_Pastry	hours_18 and StudentIDval_8	1.788	8.333
ItemName_CHIPS	hours_18 and StudentIDval_8	1.788	8.333
ItemName_CHIPS	StudentIDval_3 and hours_23	1.788	8.333
ItemName_Plain Dosa	StudentIDval_6 and hours_24	1.788	8.333
ItemName_Paneer Franky	StudentIDval_3 and hours_23	1.788	8.333
ItemName_Fried Maggi	StudentIDval_6 and hours_24	1.788	8.333
ItemName_DEW MIX	hours_18 and StudentIDval_8	1.788	8.333
ItemName_CHCO PIE	StudentIDval_3 and hours_23	1.788	8.333
ItemName_SNICKERS SNACK 	hours_18 and StudentIDval_8	1.788	8.333
ItemName_Veg Petty	hours_18 and StudentIDval_8	1.788	8.333
ItemName_SAMOSA CHAT	hours_18 and StudentIDval_8	1.788	8.333
ItemName_PULPY ORANGE	hours_18 and StudentIDval_8	1.788	8.333
ItemName_COKE MIX 600 ML	hours_18 and StudentIDval_8	1.788	8.333
ItemName_Masala Dosa	StudentIDval_3 and hours_23	1.788	8.333
