Consequent	Antecedent 	Support %	Confidence %
ItemName_Butter Naan	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Fried Maggi	StudentIDval_5	10.557	3.636
ItemName_Plain Dosa	StudentIDval_5	10.557	3.636
ItemName_CHCO PIE	StudentIDval_5	10.557	3.636
ItemName_Masala Dosa	StudentIDval_5	10.557	3.636
ItemName_Samosa	StudentIDval_8	37.428	3.59
ItemName_BINOG CHIP @10	StudentIDval_8	37.428	3.59
ItemName_COKE MIX 600 ML	StudentIDval_8	37.428	3.59
ItemName_CAKE SANDWICH	hours_17	5.374	3.571
ItemName_CHCO PIE	hours_17	5.374	3.571
ItemName_Samosa	hours_17	5.374	3.571
ItemName_PULPY ORANGE	hours_17	5.374	3.571
ItemName_BINOG CHIP @10	hours_17	5.374	3.571
ItemName_COKE MIX 600 ML	hours_17	5.374	3.571
ItemName_Fried Maggi	StudentIDval_1	11.132	3.448
ItemName_Samosa	StudentIDval_1	11.132	3.448
ItemName_Butter Chicken	StudentIDval_1	11.132	3.448
ItemName_BINOG CHIP @10	StudentIDval_1	11.132	3.448
ItemName_5*	hours_23 and StudentIDval_8	5.566	3.448
ItemName_BOURNVILLE	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Onion Uttapam	hours_23 and StudentIDval_8	5.566	3.448
ItemName_CHI.PASTA	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Egg Rice	hours_23 and StudentIDval_8	5.566	3.448
ItemName_COKE CAN	hours_23 and StudentIDval_8	5.566	3.448
ItemName_CHILLY CHICKEN 	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Veg Rice	hours_23 and StudentIDval_8	5.566	3.448
ItemName_MAZZA PET 600 ML	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Pasta	hours_23 and StudentIDval_8	5.566	3.448
ItemName_CAKE SANDWICH	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Chicken Rice	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Fried Maggi	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Plain Dosa	hours_23 and StudentIDval_8	5.566	3.448
ItemName_CHCO PIE	hours_23 and StudentIDval_8	5.566	3.448
ItemName_KADHAI PANEER	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Paneer Franky	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Chese Burger	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Samosa	hours_23 and StudentIDval_8	5.566	3.448
ItemName_PULPY ORANGE	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Butter Chicken	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Masala Dosa	hours_23 and StudentIDval_8	5.566	3.448
ItemName_BINOG CHIP @10	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Plain Maggi	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Chicken Sandwich	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Ice Cream Shake	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Chese Toast	hours_23 and StudentIDval_8	5.566	3.448
ItemName_COKE MIX 600 ML	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Butter Naan	hours_23 and StudentIDval_8	5.566	3.448
ItemName_Fried Maggi	hours_24	16.891	3.409
ItemName_Samosa	hours_24	16.891	3.409
ItemName_Butter Chicken	hours_24	16.891	3.409
ItemName_Veg Rice	StudentIDval_8	37.428	3.077
ItemName_MAZZA PET 600 ML	StudentIDval_8	37.428	3.077
ItemName_Pasta	StudentIDval_8	37.428	3.077
ItemName_CAKE SANDWICH	StudentIDval_8	37.428	3.077
ItemName_Chicken Rice	StudentIDval_8	37.428	3.077
ItemName_Plain Dosa	StudentIDval_8	37.428	3.077
ItemName_CHCO PIE	StudentIDval_8	37.428	3.077
ItemName_KADHAI PANEER	StudentIDval_8	37.428	3.077
ItemName_Butter Chicken	StudentIDval_8	37.428	3.077
ItemName_Masala Dosa	StudentIDval_8	37.428	3.077
ItemName_Plain Maggi	StudentIDval_8	37.428	3.077
ItemName_Chicken Sandwich	StudentIDval_8	37.428	3.077
ItemName_Chese Toast	StudentIDval_8	37.428	3.077
ItemName_Butter Naan	StudentIDval_8	37.428	3.077
ItemName_Fried Maggi	hours_23	19.386	2.97
ItemName_KADHAI PANEER	hours_23	19.386	2.97
ItemName_Samosa	hours_22	19.386	2.97
ItemName_Mix Uttapam	hours_21 and StudentIDval_8	6.526	2.941
ItemName_CHILLI PANEER	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Onion Masala Dosa	hours_21 and StudentIDval_8	6.526	2.941
ItemName_CHI SOOP	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Tandury Chicken 1/2	hours_21 and StudentIDval_8	6.526	2.941
ItemName_DAIRY MILK@35	hours_21 and StudentIDval_8	6.526	2.941
ItemName_BOURNVILLE	hours_21 and StudentIDval_8	6.526	2.941
ItemName_BINOG CHIP @20	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Onion Uttapam	hours_21 and StudentIDval_8	6.526	2.941
ItemName_CHI.PASTA	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Egg Rice	hours_21 and StudentIDval_8	6.526	2.941
ItemName_COKE CAN	hours_21 and StudentIDval_8	6.526	2.941
ItemName_CHILLY CHICKEN 	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Veg Rice	hours_21 and StudentIDval_8	6.526	2.941
ItemName_MAZZA PET 600 ML	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Pasta	hours_21 and StudentIDval_8	6.526	2.941
ItemName_CAKE SANDWICH	hours_21 and StudentIDval_8	6.526	2.941
ItemName_SAMOSA CHAT	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Chicken Rice	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Fried Maggi	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Plain Dosa	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Veg Petty	hours_21 and StudentIDval_8	6.526	2.941
ItemName_KADHAI PANEER	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Chese Burger	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Samosa	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Butter Chicken	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Masala Dosa	hours_21 and StudentIDval_8	6.526	2.941
ItemName_BINOG CHIP @10	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Plain Maggi	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Chicken Sandwich	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Ice Cream Shake	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Chese Toast	hours_21 and StudentIDval_8	6.526	2.941
ItemName_COKE MIX 600 ML	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Butter Naan	hours_21 and StudentIDval_8	6.526	2.941
ItemName_Tandury Chicken 1/2	StudentIDval_7	6.718	2.857
ItemName_CHILLY CHICKEN 	StudentIDval_7	6.718	2.857
ItemName_CAKE SANDWICH	StudentIDval_7	6.718	2.857
ItemName_Pastry	StudentIDval_7	6.718	2.857
ItemName_Veg Petty	StudentIDval_7	6.718	2.857
ItemName_KADHAI PANEER	StudentIDval_7	6.718	2.857
ItemName_Plain Maggi	StudentIDval_7	6.718	2.857
ItemName_COKE MIX 600 ML	StudentIDval_7	6.718	2.857
ItemName_DIGESTIVE	hours_25	6.91	2.778
ItemName_COOKIES	hours_25	6.91	2.778
ItemName_BIS GD CASHEW @10	hours_25	6.91	2.778
ItemName_SNICKERS SNACK 	hours_25	6.91	2.778
ItemName_Veg Rice	hours_25	6.91	2.778
ItemName_MAZZA PET 600 ML	hours_25	6.91	2.778
ItemName_Pasta	hours_25	6.91	2.778
ItemName_CAKE SANDWICH	hours_25	6.91	2.778
ItemName_Chicken Rice	hours_25	6.91	2.778
